icd9_code,icd9_description
267,Ascorbic acid deficiency
268.2,"Osteomalacia, unspecified"
268.9,Unspecified vitamin D deficiency
269.0,Deficiency of vitamin K
269.2,Unspecified vitamin deficiency
269.3,"Mineral deficiency, not elsewhere classified"
269.8,Other nutritional deficiency
269.9,Unspecified nutritional deficiency
27.73,Amyloidosis
270.0,Disturbances of amino-acid transport
270.2,Other disturbances of aromatic amino-acid metabolism
270.4,Disturbances of sulphur-bearing amino-acid metabolism
270.6,Disorders of urea cycle metabolism
270.7,Other disturbances of straight-chain amino-acid metabolism
271.0,Glycogenosis
271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption
271.8,Other specified disorders of carbohydrate transport and metabolism
272.0,Pure hypercholesterolemia
272.1,Pure hyperglyceridemia
272.2,Mixed hyperlipidemia
272.4,Other and unspecified hyperlipidemia
272.5,Lipoprotein deficiencies
272.6,Lipodystrophy
272.7,Lipidoses
272.8,Other disorders of lipoid metabolism
272.9,Unspecified disorder of lipoid metabolism
273.0,Polyclonal hypergammaglobulinemia
273.1,Monoclonal paraproteinemia
273.2,Other paraproteinemias
273.3,Macroglobulinemia
273.4,Alpha-1-antitrypsin deficiency
273.8,Other disorders of plasma protein metabolism
273.9,Unspecified disorder of plasma protein metabolism
274.0,Gouty arthropathy
274.00,"Gouty arthropathy, unspecified"
274.01,Acute gouty arthropathy
274.02,Chronic gouty arthropathy without mention of tophus (tophi)
274.03,Chronic gouty arthropathy with tophus (tophi)
274.11,Uric acid nephrolithiasis
274.82,"Gouty tophi of other sites, except ear"
274.89,Gout with other specified manifestations
274.9,"Gout, unspecified"
275.0,Disorders of iron metabolism
275.01,Hereditary hemochromatosis
275.02,Hemochromatosis due to repeated red blood cell transfusions
275.03,Other hemochromatosis
275.09,Other disorders of iron metabolism
275.1,Disorders of copper metabolism
275.2,Disorders of magnesium metabolism
275.3,Disorders of phosphorus metabolism
275.40,Unspecified disorder of calcium metabolism
275.41,Hypocalcemia
275.42,Hypercalcemia
275.49,Other disorders of calcium metabolism
275.5,Hungry bone syndrome
275.8,Other specified disorders of mineral metabolism
275.9,Unspecified disorder of mineral metabolism
276.0,Hyperosmolality and/or hypernatremia
276.1,Hyposmolality and/or hyponatremia
276.2,Acidosis
276.3,Alkalosis
276.4,Mixed acid-base balance disorder
276.5,Volume depletion disorder
276.50,"Volume depletion, unspecified"
276.51,Dehydration
276.52,Hypovolemia
276.6,Fluid overload disorder
276.61,Transfusion associated circulatory overload
276.69,Other fluid overload
276.7,Hyperpotassemia
276.8,Hypopotassemia
276.9,Electrolyte and fluid disorders not elsewhere classified
277.00,Cystic fibrosis without mention of meconium ileus
277.02,Cystic fibrosis with pulmonary manifestations
277.09,Cystic fibrosis with other manifestations
277.1,Disorders of porphyrin metabolism
277.30,"Amyloidosis, unspecified"
277.31,Familial Mediterranean fever
277.39,Other amyloidosis
277.4,Disorders of bilirubin excretion
277.6,Other deficiencies of circulating enzymes
277.7,Dysmetabolic syndrome X
277.87,Disorders of mitochondrial metabolism
277.88,Tumor lysis syndrome
277.89,Other specified disorders of metabolism
277.9,Unspecified disorder of metabolism
278.00,"Obesity, unspecified"
278.01,Morbid obesity
278.02,Overweight
278.03,Obesity hypoventilation syndrome
278.1,Localized adiposity
278.8,Other hyperalimentation
279.00,"Hypogammaglobulinemia, unspecified"
279.01,Selective IgA immunodeficiency
279.03,Other selective immunoglobulin deficiencies
279.06,Common variable immunodeficiency
279.11,Digeorge's syndrome
279.3,Unspecified immunity deficiency
279.4,Autoimmune disease not elsewhere classified
279.41,Autoimmune lymphoproliferative syndrome
279.49,"Autoimmune disease, not elsewhere classified"
279.50,"Graft-versus-host disease, unspecified"
279.51,Acute graft-versus-host disease
279.52,Chronic graft-versus-host disease
279.53,Acute on chronic graft-versus-host disease
279.8,Other specified disorders involving the immune mechanism
279.9,Unspecified disorder of immune mechanism
280.0,Iron deficiency anemia secondary to blood loss (chronic)
280.8,Other specified iron deficiency anemias
280.9,"Iron deficiency anemia, unspecified"
281.0,Pernicious anemia
281.1,Other vitamin B12 deficiency anemia
281.2,Folate-deficiency anemia
281.3,Other specified megaloblastic anemias not elsewhere classified
281.8,Anemia associated with other specified nutritional deficiency
281.9,Unspecified deficiency anemia
282.0,Hereditary spherocytosis
282.1,Hereditary elliptocytosis
282.2,Anemias due to disorders of glutathione metabolism
282.3,Other hemolytic anemias due to enzyme deficiency
282.4,Thalassemias
282.40,"Thalassemia, unspecified"
282.41,Sickle-cell thalassemia without crisis
282.43,Alpha thalassemia
282.44,Beta thalassemia
282.46,Thalassemia minor
282.49,Other thalassemia
282.5,Sickle-cell trait
282.60,"Sickle-cell disease, unspecified"
282.62,Hb-SS disease with crisis
282.64,Sickle-cell/Hb-C disease with crisis
282.7,Other hemoglobinopathies
282.8,Other specified hereditary hemolytic anemias
282.9,"Hereditary hemolytic anemia, unspecified"
283.0,Autoimmune hemolytic anemias
283.10,"Non-autoimmune hemolytic anemia, unspecified"
283.11,Hemolytic-uremic syndrome
283.19,Other non-autoimmune hemolytic anemias
283.2,Hemoglobinuria due to hemolysis from external causes
283.9,"Acquired hemolytic anemia, unspecified"
284.0,Constitutional aplastic anemia
284.1,Pancytopenia
284.11,Antineoplastic chemotherapy induced pancytopenia
284.12,Other drug-induced pancytopenia
284.19,Other pancytopenia
284.2,Myelophthisis
284.8,Other specified aplastic anemias
284.89,Other specified aplastic anemias
284.9,"Aplastic anemia, unspecified"
285.1,Acute posthemorrhagic anemia
285.21,Anemia in chronic kidney disease
285.22,Anemia in neoplastic disease
285.29,Anemia of other chronic disease
285.3,Antineoplastic chemotherapy induced anemia
285.8,Other specified anemias
285.9,"Anemia, unspecified"
286.0,Congenital factor VIII disorder
286.1,Congenital factor IX disorder
286.2,Congenital factor XI deficiency
286.3,Congenital deficiency of other clotting factors
286.4,Von Willebrand's disease
286.5,Hemorrhagic disorder due to intrinsic circulating anticoagulants
286.52,Acquired hemophilia
286.6,Defibrination syndrome
286.7,Acquired coagulation factor deficiency
286.9,Other and unspecified coagulation defects
287.0,Allergic purpura
287.1,Qualitative platelet defects
287.2,Other nonthrombocytopenic purpuras
287.3,Primary thrombocytopenia
287.30,"Primary thrombocytopenia,unspecified"
287.31,Immune thrombocytopenic purpura
287.32,Evans' syndrome
287.33,Congenital and hereditary thrombocytopenic purpura
287.4,Secondary thrombocytopenia
287.49,Other secondary thrombocytopenia
287.5,"Thrombocytopenia, unspecified"
287.9,Unspecified hemorrhagic conditions
288.0,Neutropenia
288.00,"Neutropenia, unspecified"
288.01,Congenital neutropenia
288.02,Cyclic neutropenia
288.03,Drug induced neutropenia
288.04,Neutropenia due to infection
288.09,Other neutropenia
288.1,Functional disorders of polymorphonuclear neutrophils
288.2,Genetic anomalies of leukocytes
288.3,Eosinophilia
288.4,Hemophagocytic syndromes
288.50,"Leukocytopenia, unspecified"
288.51,Lymphocytopenia
288.59,Other decreased white blood cell count
288.60,"Leukocytosis, unspecified"
288.61,Lymphocytosis (symptomatic)
288.62,Leukemoid reaction
288.63,Monocytosis (symptomatic)
288.66,Bandemia
288.8,Other specified disease of white blood cells
289.0,"Polycythemia, secondary"
289.1,Chronic lymphadenitis
289.3,"Lymphadenitis, unspecified, except mesenteric"
289.4,Hypersplenism
289.50,"Disease of spleen, unspecified"
289.51,Chronic congestive splenomegaly
289.52,Splenic sequestration
289.59,Other diseases of spleen
289.7,Methemoglobinemia
289.8,Other specified diseases of blood and blood-forming organs
289.81,Primary hypercoagulable state
289.82,Secondary hypercoagulable state
289.83,Myelofibrosis
289.84,Heparin-induced thrombocytopenia (HIT)
289.89,Other specified diseases of blood and blood-forming organs
289.9,Unspecified diseases of blood and blood-forming organs
290.0,"Senile dementia, uncomplicated"
290.10,"Presenile dementia, uncomplicated"
290.12,Presenile dementia with delusional features
290.3,Senile dementia with delirium
290.40,"Vascular dementia, uncomplicated"
290.41,"Vascular dementia, with delirium"
290.42,"Vascular dementia, with delusions"
290.43,"Vascular dementia, with depressed mood"
291.0,Alcohol withdrawal delirium
291.1,Alcohol-induced persisting amnestic disorder
291.2,Alcohol-induced persisting dementia
291.3,Alcohol-induced psychotic disorder with hallucinations
291.81,Alcohol withdrawal
291.89,Other alcohol-induced mental disorders
292.0,Drug withdrawal
292.11,Drug-induced psychotic disorder with delusions
292.12,Drug-induced psychotic disorder with hallucinations
292.81,Drug-induced delirium
292.84,Drug-induced mood disorder
292.85,Drug induced sleep disorders
292.89,Other specified drug-induced mental disorders
292.9,Unspecified drug-induced mental disorder
293.0,Delirium due to conditions classified elsewhere
293.1,Subacute delirium
293.81,Psychotic disorder with delusions in conditions classified elsewhere
293.82,Psychotic disorder with hallucinations in conditions classified elsewhere
293.83,Mood disorder in conditions classified elsewhere
293.84,Anxiety disorder in conditions classified elsewhere
293.89,"Other specified transient mental disorders due to conditions classified elsewhere, other"
293.9,Unspecified transient mental disorder in conditions classified elsewhere
294.0,Amnestic disorder in conditions classified elsewhere
294.10,Dementia in conditions classified elsewhere without behavioral disturbance
294.11,Dementia in conditions classified elsewhere with behavioral disturbance
294.20,"Dementia, unspecified, without behavioral disturbance"
294.21,"Dementia, unspecified, with behavioral disturbance"
294.8,Other persistent mental disorders due to conditions classified elsewhere
294.9,Unspecified persistent mental disorders due to conditions classified elsewhere
295.02,"Simple type schizophrenia, chronic"
295.12,"Disorganized type schizophrenia, chronic"
295.20,"Catatonic type schizophrenia, unspecified"
295.22,"Catatonic type schizophrenia, chronic"
295.24,"Catatonic type schizophrenia, chronic with acute exacerbation"
295.30,"Paranoid type schizophrenia, unspecified"
295.32,"Paranoid type schizophrenia, chronic"
295.40,"Schizophreniform disorder, unspecified"
295.44,"Schizophreniform disorder, chronic with acute exacerbation"
295.60,"Schizophrenic disorders, residual type, unspecified"
295.62,"Schizophrenic disorders, residual type, chronic"
295.64,"Schizophrenic disorders, residual type, chronic with acute exacerbation"
295.70,"Schizoaffective disorder, unspecified"
295.72,"Schizoaffective disorder, chronic"
295.73,"Schizoaffective disorder, subchronic with acute exacerbation"
295.74,"Schizoaffective disorder, chronic with acute exacerbation"
295.75,"Schizoaffective disorder, in remission"
295.80,"Other specified types of schizophrenia, unspecified"
295.90,"Unspecified schizophrenia, unspecified"
295.92,"Unspecified schizophrenia, chronic"
296.00,"Bipolar I disorder, single manic episode, unspecified"
296.04,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior"
296.14,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior"
296.20,"Major depressive affective disorder, single episode, unspecified"
296.21,"Major depressive affective disorder, single episode, mild"
296.22,"Major depressive affective disorder, single episode, moderate"
296.23,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior"
296.24,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior"
296.25,"Major depressive affective disorder, single episode, in partial or unspecified remission"
296.30,"Major depressive affective disorder, recurrent episode, unspecified"
296.31,"Major depressive affective disorder, recurrent episode, mild"
296.32,"Major depressive affective disorder, recurrent episode, moderate"
296.33,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
296.34,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
296.40,"Bipolar I disorder, most recent episode (or current) manic, unspecified"
296.44,"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior"
296.50,"Bipolar I disorder, most recent episode (or current) depressed, unspecified"
296.51,"Bipolar I disorder, most recent episode (or current) depressed, mild"
296.53,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior"
296.54,"Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior"
296.7,"Bipolar I disorder, most recent episode (or current) unspecified"
296.80,"Bipolar disorder, unspecified"
296.81,Atypical manic disorder
296.89,Other bipolar disorders
296.90,Unspecified episodic mood disorder
296.99,Other specified episodic mood disorder
297.1,Delusional disorder
297.2,Paraphrenia
297.8,Other specified paranoid states
297.9,Unspecified paranoid state
298.0,Depressive type psychosis
298.2,Reactive confusion
298.9,Unspecified psychosis
299.00,"Autistic disorder, current or active state"
299.80,"Other specified pervasive developmental disorders, current or active state"
299.90,"Unspecified pervasive developmental disorder, current or active state"
300.00,"Anxiety state, unspecified"
300.01,Panic disorder without agoraphobia
300.02,Generalized anxiety disorder
300.09,Other anxiety states
300.11,Conversion disorder
300.12,Dissociative amnesia
300.14,Dissociative identity disorder
300.15,"Dissociative disorder or reaction, unspecified"
300.16,Factitious disorder with predominantly psychological signs and symptoms
300.21,Agoraphobia with panic disorder
300.22,Agoraphobia without mention of panic attacks
300.29,Other isolated or specific phobias
300.3,Obsessive-compulsive disorders
300.4,Dysthymic disorder
300.7,Hypochondriasis
300.89,Other somatoform disorders
300.9,Unspecified nonpsychotic mental disorder
301.0,Paranoid personality disorder
301.13,Cyclothymic disorder
301.20,"Schizoid personality disorder, unspecified"
301.22,Schizotypal personality disorder
301.3,Explosive personality disorder
301.4,Obsessive-compulsive personality disorder
301.50,"Histrionic personality disorder, unspecified"
301.51,Chronic factitious illness with physical symptoms
301.7,Antisocial personality disorder
301.81,Narcissistic personality disorder
301.83,Borderline personality disorder
301.9,Unspecified personality disorder
302.50,Trans-sexualism with unspecified sexual history
302.85,Gender identity disorder in adolescents or adults
302.9,Unspecified psychosexual disorder
303.00,"Acute alcoholic intoxication in alcoholism, unspecified"
303.01,"Acute alcoholic intoxication in alcoholism, continuous"
303.02,"Acute alcoholic intoxication in alcoholism, episodic"
303.03,"Acute alcoholic intoxication in alcoholism, in remission"
303.90,"Other and unspecified alcohol dependence, unspecified"
303.91,"Other and unspecified alcohol dependence, continuous"
303.92,"Other and unspecified alcohol dependence, episodic"
303.93,"Other and unspecified alcohol dependence, in remission"
304.00,"Opioid type dependence, unspecified"
304.01,"Opioid type dependence, continuous"
304.02,"Opioid type dependence, episodic"
304.03,"Opioid type dependence, in remission"
304.10,"Sedative, hypnotic or anxiolytic dependence, unspecified"
304.11,"Sedative, hypnotic or anxiolytic dependence, continuous"
304.20,"Cocaine dependence, unspecified"
304.21,"Cocaine dependence, continuous"
304.22,"Cocaine dependence, episodic"
304.23,"Cocaine dependence, in remission"
304.30,"Cannabis dependence, unspecified"
304.31,"Cannabis dependence, continuous"
304.40,"Amphetamine and other psychostimulant dependence, unspecified"
304.41,"Amphetamine and other psychostimulant dependence, continuous"
304.43,"Amphetamine and other psychostimulant dependence, in remission"
304.60,"Other specified drug dependence, unspecified"
304.61,"Other specified drug dependence, continuous"
304.70,"Combinations of opioid type drug with any other drug dependence, unspecified"
304.71,"Combinations of opioid type drug with any other drug dependence, continuous"
304.72,"Combinations of opioid type drug with any other drug dependence, episodic"
304.73,"Combinations of opioid type drug with any other drug dependence, in remission"
304.80,"Combinations of drug dependence excluding opioid type drug, unspecified"
304.81,"Combinations of drug dependence excluding opioid type drug, continuous"
304.83,"Combinations of drug dependence excluding opioid type drug, in remission"
304.90,"Unspecified drug dependence, unspecified"
304.91,"Unspecified drug dependence, continuous"
304.93,"Unspecified drug dependence, in remission"
305.00,"Alcohol abuse, unspecified"
305.01,"Alcohol abuse, continuous"
305.02,"Alcohol abuse, episodic"
305.03,"Alcohol abuse, in remission"
305.1,Tobacco use disorder
305.20,"Cannabis abuse, unspecified"
305.21,"Cannabis abuse, continuous"
305.22,"Cannabis abuse, episodic"
305.23,"Cannabis abuse, in remission"
305.30,"Hallucinogen abuse, unspecified"
305.31,"Hallucinogen abuse, continuous"
305.40,"Sedative, hypnotic or anxiolytic abuse, unspecified"
305.41,"Sedative, hypnotic or anxiolytic abuse, continuous"
305.43,"Sedative, hypnotic or anxiolytic abuse, in remission"
305.50,"Opioid abuse, unspecified"
305.51,"Opioid abuse, continuous"
305.52,"Opioid abuse, episodic"
305.53,"Opioid abuse, in remission"
305.60,"Cocaine abuse, unspecified"
305.61,"Cocaine abuse, continuous"
305.62,"Cocaine abuse, episodic"
305.63,"Cocaine abuse, in remission"
305.70,"Amphetamine or related acting sympathomimetic abuse, unspecified"
305.71,"Amphetamine or related acting sympathomimetic abuse, continuous"
305.73,"Amphetamine or related acting sympathomimetic abuse, in remission"
305.80,"Antidepressant type abuse, unspecified"
305.83,"Antidepressant type abuse, in remission"
305.90,"Other, mixed, or unspecified drug abuse, unspecified"
305.91,"Other, mixed, or unspecified drug abuse, continuous"
305.92,"Other, mixed, or unspecified drug abuse, episodic"
305.93,"Other, mixed, or unspecified drug abuse, in remission"
306.0,Musculoskeletal malfunction arising from mental factors
306.1,Respiratory malfunction arising from mental factors
306.2,Cardiovascular malfunction arising from mental factors
306.8,Other specified psychophysiological malfunction
306.9,Unspecified psychophysiological malfunction
307.1,Anorexia nervosa
307.23,Tourette's disorder
307.42,Persistent disorder of initiating or maintaining sleep
307.47,Other dysfunctions of sleep stages or arousal from sleep
307.49,Other specific disorders of sleep of nonorganic origin
307.50,"Eating disorder, unspecified"
307.51,Bulimia nervosa
307.52,Pica
307.59,Other disorders of eating
307.6,Enuresis
307.81,Tension headache
307.89,Other pain disorders related to psychological factors
307.9,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
308.0,Predominant disturbance of emotions
308.1,Predominant disturbance of consciousness
308.2,Predominant psychomotor disturbance
308.3,Other acute reactions to stress
308.9,Unspecified acute reaction to stress
309.0,Adjustment disorder with depressed mood
309.1,Prolonged depressive reaction
309.24,Adjustment disorder with anxiety
309.28,Adjustment disorder with mixed anxiety and depressed mood
309.3,Adjustment disorder with disturbance of conduct
309.4,Adjustment disorder with mixed disturbance of emotions and conduct
309.81,Posttraumatic stress disorder
309.89,Other specified adjustment reactions
309.9,Unspecified adjustment reaction
310.0,Frontal lobe syndrome
310.1,Personality change due to conditions classified elsewhere
310.2,Postconcussion syndrome
310.8,Other specified nonpsychotic mental disorders following organic brain damage
310.9,Unspecified nonpsychotic mental disorder following organic brain damage
311,Cutaneous diseases due to other mycobacteria
312.30,"Impulse control disorder, unspecified"
312.34,Intermittent explosive disorder
312.39,Other disorders of impulse control
312.89,Other conduct disorder
312.9,Unspecified disturbance of conduct
313.81,Oppositional defiant disorder
314.00,Attention deficit disorder without mention of hyperactivity
314.01,Attention deficit disorder with hyperactivity
315.2,Other specific developmental learning difficulties
315.31,Expressive language disorder
315.39,Other developmental speech or language disorder
315.4,Developmental coordination disorder
315.8,Other specified delays in development
315.9,Unspecified delay in development
316,Psychic factors associated with diseases classified elsewhere
317,Mild intellectual disabilities
318.0,Moderate intellectual disabilities
318.1,Severe intellectual disabilities
318.2,Profound intellectual disabilities
319,Unspecified diseases due to mycobacteria
320.0,Hemophilus meningitis
320.1,Pneumococcal meningitis
320.2,Streptococcal meningitis
320.3,Staphylococcal meningitis
320.7,Meningitis in other bacterial diseases classified elsewhere
320.82,"Meningitis due to gram-negative bacteria, not elsewhere classified"
320.89,Meningitis due to other specified bacteria
320.9,Meningitis due to unspecified bacterium
321.0,Cryptococcal meningitis
321.2,Meningitis due to viruses not elsewhere classified
322.0,Nonpyogenic meningitis
322.1,Eosinophilic meningitis
322.2,Chronic meningitis
322.9,"Meningitis, unspecified"
323.4,"Other encephalitis, myelitis, and encephalomyelitis due to infection classified elsewhere"
323.41,Other encephalitis and encephalomyelitis due to other infections classified elsewhere
323.51,Encephalitis and encephalomyelitis following immunization procedures
323.6,"Postinfectious encephalitis, myelitis, and encephalomyelitis"
323.61,Infectious acute disseminated encephalomyelitis (ADEM)
323.62,Other postinfectious encephalitis and encephalomyelitis
323.72,Toxic myelitis
323.8,"Other causes of encephalitis, myelitis, and encephalomyelitis"
323.81,Other causes of encephalitis and encephalomyelitis
323.82,Other causes of myelitis
323.9,"Unspecified causes of encephalitis, myelitis, and encephalomyelitis"
324.0,Intracranial abscess
324.1,Intraspinal abscess
324.9,Intracranial and intraspinal abscess of unspecified site
325,Phlebitis and thrombophlebitis of intracranial venous sinuses
326,Late effects of intracranial abscess or pyogenic infection
327.13,Recurrent hypersomnia
327.19,Other organic hypersomnia
327.20,"Organic sleep apnea, unspecified"
327.21,Primary central sleep apnea
327.23,Obstructive sleep apnea (adult)(pediatric)
327.24,Idiopathic sleep related non-obstructive alveolar hypoventilation
327.25,Congenital central alveolar hypoventilation syndrome
327.26,Sleep related hypoventilation/hypoxemia in conditions classifiable elsewhere
327.27,Central sleep apnea in conditions classified elsewhere
327.37,Circadian rhythm sleep disorder in conditions classified elsewhere
327.42,REM sleep behavior disorder
330.0,Leukodystrophy
330.1,Cerebral lipidoses
330.8,Other specified cerebral degenerations in childhood
331.0,Alzheimer's disease
331.19,Other frontotemporal dementia
331.3,Communicating hydrocephalus
331.4,Obstructive hydrocephalus
331.5,Idiopathic normal pressure hydrocephalus (INPH)
331.82,Dementia with lewy bodies
331.83,"Mild cognitive impairment, so stated"
331.89,Other cerebral degeneration
331.9,"Cerebral degeneration, unspecified"
332.0,Paralysis agitans
332.1,Secondary parkinsonism
333.0,Other degenerative diseases of the basal ganglia
333.1,Essential and other specified forms of tremor
333.2,Myoclonus
333.4,Huntington's chorea
333.5,Other choreas
333.6,Genetic torsion dystonia
333.7,Acquired torsion dystonia
333.72,Acute dystonia due to drugs
333.79,Other acquired torsion dystonia
333.81,Blepharospasm
333.82,Orofacial dyskinesia
333.84,Organic writers' cramp
333.85,Subacute dyskinesia due to drugs
333.90,Unspecified extrapyramidal disease and abnormal movement disorder
333.91,Stiff-man syndrome
333.92,Neuroleptic malignant syndrome
333.94,Restless legs syndrome (RLS)
333.99,Other extrapyramidal diseases and abnormal movement disorders
334.0,Friedreich's ataxia
334.1,Hereditary spastic paraplegia
334.2,Primary cerebellar degeneration
334.3,Other cerebellar ataxia
334.4,Cerebellar ataxia in diseases classified elsewhere
334.8,Other spinocerebellar diseases
334.9,"Spinocerebellar disease, unspecified"
335.10,"Spinal muscular atrophy, unspecified"
335.11,Kugelberg-Welander disease
335.20,Amyotrophic lateral sclerosis
335.21,Progressive muscular atrophy
335.22,Progressive bulbar palsy
335.23,Pseudobulbar palsy
336.0,Syringomyelia and syringobulbia
336.1,Vascular myelopathies
336.3,Myelopathy in other diseases classified elsewhere
336.8,Other myelopathy
336.9,Unspecified disease of spinal cord
337.0,Idiopathic peripheral autonomic neuropathy
337.01,Carotid sinus syndrome
337.09,Other idiopathic peripheral autonomic neuropathy
337.1,Peripheral autonomic neuropathy in disorders classified elsewhere
337.20,"Reflex sympathetic dystrophy, unspecified"
337.21,Reflex sympathetic dystrophy of the upper limb
337.22,Reflex sympathetic dystrophy of the lower limb
337.29,Reflex sympathetic dystrophy of other specified site
337.3,Autonomic dysreflexia
337.9,Unspecified disorder of autonomic nervous system
338.0,Central pain syndrome
338.11,Acute pain due to trauma
338.12,Acute post-thoracotomy pain
338.18,Other acute postoperative pain
338.19,Other acute pain
338.21,Chronic pain due to trauma
338.22,Chronic post-thoracotomy pain
338.28,Other chronic postoperative pain
338.29,Other chronic pain
338.3,Neoplasm related pain (acute) (chronic)
338.4,Chronic pain syndrome
339.00,"Cluster headache syndrome, unspecified"
339.02,Chronic cluster headache
339.12,Chronic tension type headache
339.20,"Post-traumatic headache, unspecified"
339.3,"Drug induced headache, not elsewhere classified"
339.89,Other headache syndromes
34.83,"Encephalopathy, not elsewhere classified"
340,Multiple sclerosis
341.0,Neuromyelitis optica
341.1,Schilder's disease
341.20,Acute (transverse) myelitis NOS
341.8,Other demyelinating diseases of central nervous system
341.9,"Demyelinating disease of central nervous system, unspecified"
342.00,Flaccid hemiplegia and hemiparesis affecting unspecified side
342.01,Flaccid hemiplegia and hemiparesis affecting dominant side
342.02,Flaccid hemiplegia and hemiparesis affecting nondominant side
342.10,Spastic hemiplegia and hemiparesis affecting unspecified side
342.11,Spastic hemiplegia and hemiparesis affecting dominant side
342.12,Spastic hemiplegia and hemiparesis affecting nondominant side
342.80,Other specified hemiplegia and hemiparesis affecting unspecified side
342.81,Other specified hemiplegia and hemiparesis affecting dominant side
342.82,Other specified hemiplegia and hemiparesis affecting nondominant side
342.90,"Hemiplegia, unspecified, affecting unspecified side"
342.91,"Hemiplegia, unspecified, affecting dominant side"
342.92,"Hemiplegia, unspecified, affecting nondominant side"
343.0,Congenital diplegia
343.1,Congenital hemiplegia
343.2,Congenital quadriplegia
343.4,Infantile hemiplegia
343.8,Other specified infantile cerebral palsy
343.9,"Infantile cerebral palsy, unspecified"
344.00,"Quadriplegia, unspecified"
344.01,"Quadriplegia, C1-C4, complete"
344.02,"Quadriplegia, C1-C4, incomplete"
344.03,"Quadriplegia, C5-C7, complete"
344.04,"Quadriplegia, C5-C7, incomplete"
344.09,Other quadriplegia
344.1,Paraplegia
344.2,Diplegia of upper limbs
344.30,Monoplegia of lower limb affecting unspecified side
344.31,Monoplegia of lower limb affecting dominant side
344.40,Monoplegia of upper limb affecting unspecified side
344.41,Monoplegia of upper limb affecting dominant side
344.42,Monoplegia of upper limb affecting nondominant sde
344.5,Unspecified monoplegia
344.60,Cauda equina syndrome without mention of neurogenic bladder
344.61,Cauda equina syndrome with neurogenic bladder
344.81,Locked-in state
344.89,Other specified paralytic syndrome
344.9,"Paralysis, unspecified"
345.00,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
345.01,"Generalized nonconvulsive epilepsy, with intractable epilepsy"
345.10,"Generalized convulsive epilepsy, without mention of intractable epilepsy"
345.11,"Generalized convulsive epilepsy, with intractable epilepsy"
345.2,Petit mal status
345.3,Grand mal status
345.40,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
345.41,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
345.50,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
345.51,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy"
345.70,"Epilepsia partialis continua, without mention of intractable epilepsy"
345.71,"Epilepsia partialis continua, with intractable epilepsy"
345.80,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy"
345.81,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy"
345.90,"Epilepsy, unspecified, without mention of intractable epilepsy"
345.91,"Epilepsy, unspecified, with intractable epilepsy"
346.00,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
346.20,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus"
346.70,"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus"
346.80,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"
346.90,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
346.91,"Migraine, unspecified, with intractable migraine, so stated, without mention of status migrainosus"
346.93,"Migraine, unspecified, with intractable migraine, so stated, with status migrainosus"
347.00,"Narcolepsy, without cataplexy"
347.01,"Narcolepsy, with cataplexy"
347.10,"Narcolepsy in conditions classified elsewhere, without cataplexy"
348.0,Cerebral cysts
348.1,Anoxic brain damage
348.2,Benign intracranial hypertension
348.30,"Encephalopathy, unspecified"
348.31,Metabolic encephalopathy
348.39,Other encephalopathy
348.4,Compression of brain
348.5,Cerebral edema
348.8,Other conditions of brain
348.81,Temporal sclerosis
348.82,Brain death
348.89,Other conditions of brain
348.9,Unspecified condition of brain
349.0,Reaction to spinal or lumbar puncture
349.1,Nervous system complications from surgically implanted device
349.2,"Disorders of meninges, not elsewhere classified"
349.31,Accidental puncture or laceration of dura during a procedure
349.39,Other dural tear
349.81,Cerebrospinal fluid rhinorrhea
349.82,Toxic encephalopathy
349.89,Other specified disorders of nervous system
349.9,Unspecified disorders of nervous system
35.92,Myotonic disorders
350.1,Trigeminal neuralgia
350.2,Atypical face pain
350.9,"Trigeminal nerve disorder, unspecified"
351.0,Bell's palsy
351.8,Other facial nerve disorders
351.9,"Facial nerve disorder, unspecified"
